type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2026-02-22 04:17:08,34.91707415,137.16739825,3.79,80.098,,6.740,176,30,48,,
T,2026-02-22 04:17:09,34.91701210,137.16740757,3.79,80.000,,7.120,175,30,48,,
T,2026-02-22 04:17:10,34.91694744,137.16741294,3.79,79.851,,7.230,176,30,48,,
T,2026-02-22 04:17:11,34.91688097,137.16741892,3.79,79.426,,7.450,177,30,48,,
T,2026-02-22 04:17:12,34.91681428,137.16742254,3.79,79.205,,7.480,178,30,48,,
T,2026-02-22 04:17:13,34.91674821,137.16742142,3.79,78.825,,7.550,182,30,48,,
T,2026-02-22 04:17:14,34.91667797,137.16741963,3.79,78.618,,7.840,182,30,48,,
T,2026-02-22 04:17:15,34.91660739,137.16742062,3.79,78.285,,8.020,178,30,48,,
T,2026-02-22 04:17:16,34.91653103,137.16742701,3.79,78.082,,8.630,174,30,48,,
T,2026-02-22 04:17:17,34.91645369,137.16743611,3.79,77.854,,8.670,173,30,48,,
T,2026-02-22 04:17:18,34.91637500,137.16744737,3.79,77.369,,8.900,173,30,48,,
T,2026-02-22 04:17:19,34.91629445,137.16746635,3.79,77.015,,9.380,168,30,48,,
T,2026-02-22 04:17:20,34.91620628,137.16748778,3.79,76.803,,10.190,168,30,48,,
T,2026-02-22 04:17:21,34.91611263,137.16750592,3.79,76.282,,10.710,171,30,48,,
T,2026-02-22 04:17:22,34.91601349,137.16752134,3.79,75.729,,11.530,174,30,48,,
T,2026-02-22 04:17:23,34.91590768,137.16753167,3.79,75.340,,12.000,176,30,48,,
T,2026-02-22 04:17:24,34.91580105,137.16754358,3.79,74.781,,11.990,175,30,48,,
T,2026-02-22 04:17:25,34.91569127,137.16755393,3.79,74.217,,12.260,176,30,48,,
T,2026-02-22 04:17:26,34.91558137,137.16756557,3.79,73.638,,12.370,175,30,48,,
T,2026-02-22 04:17:27,34.91546998,137.16757586,3.79,73.164,,12.510,176,30,48,,
T,2026-02-22 04:17:28,34.91535555,137.16758760,3.79,72.440,,12.840,175,30,48,,
T,2026-02-22 04:17:29,34.91523988,137.16759985,3.79,71.905,,13.110,175,30,48,,
T,2026-02-22 04:17:30,34.91512133,137.16761035,3.79,71.372,,13.270,176,29,48,,
T,2026-02-22 04:17:31,34.91500250,137.16762154,3.79,70.767,,13.200,175,29,48,,
T,2026-02-22 04:17:32,34.91488396,137.16763219,3.79,70.067,,13.310,176,29,48,,
T,2026-02-22 04:17:33,34.91476311,137.16764021,3.79,69.377,,13.630,177,29,48,,
T,2026-02-22 04:17:34,34.91464318,137.16764937,3.79,69.169,,13.520,177,30,48,,
T,2026-02-22 04:17:35,34.91452288,137.16765736,3.79,68.763,,13.530,177,30,48,,
T,2026-02-22 04:17:36,34.91440148,137.16766840,3.79,68.204,,13.550,176,30,48,,
T,2026-02-22 04:17:37,34.91428039,137.16768090,3.79,67.727,,13.540,175,30,48,,
T,2026-02-22 04:17:38,34.91415876,137.16769458,3.79,67.428,,13.510,175,30,48,,
T,2026-02-22 04:17:39,34.91403853,137.16770725,3.79,67.316,,13.480,175,30,48,,
T,2026-02-22 04:17:40,34.91391897,137.16772385,3.79,67.221,,13.380,174,31,48,,
T,2026-02-22 04:17:41,34.91380158,137.16774030,3.79,66.678,,13.260,174,31,48,,
T,2026-02-22 04:17:42,34.91368172,137.16775503,3.79,66.287,,13.140,174,31,48,,
T,2026-02-22 04:17:43,34.91356473,137.16777149,3.79,66.272,,12.970,174,31,48,,
T,2026-02-22 04:17:44,34.91344968,137.16778534,3.79,66.311,,12.760,174,31,48,,
T,2026-02-22 04:17:45,34.91333596,137.16779988,3.79,66.411,,12.460,174,30,48,,
T,2026-02-22 04:17:46,34.91322586,137.16781442,3.79,66.253,,12.220,174,29,48,,
T,2026-02-22 04:17:47,34.91311561,137.16783217,3.79,66.037,,12.290,172,29,48,,
T,2026-02-22 04:17:48,34.91300397,137.16785194,3.79,65.864,,12.140,170,29,48,,
T,2026-02-22 04:17:49,34.91289832,137.16787776,3.79,65.967,,12.010,168,29,47,,
T,2026-02-22 04:17:50,34.91279426,137.16790418,3.79,65.973,,11.650,167,29,47,,
T,2026-02-22 04:17:51,34.91269493,137.16793230,3.79,65.769,,11.160,166,29,47,,
T,2026-02-22 04:17:52,34.91259945,137.16796262,3.79,65.729,,10.740,164,29,47,,
T,2026-02-22 04:17:53,34.91250870,137.16799536,3.79,65.693,,10.330,163,29,47,,
T,2026-02-22 04:17:54,34.91242125,137.16802789,3.79,65.544,,9.930,162,29,47,,
T,2026-02-22 04:17:55,34.91233659,137.16806324,3.79,65.315,,10.020,161,30,47,,
T,2026-02-22 04:17:56,34.91224933,137.16810100,3.79,65.295,,10.470,160,30,47,,
T,2026-02-22 04:17:57,34.91215840,137.16814214,3.79,65.450,,10.920,159,30,47,,
T,2026-02-22 04:17:58,34.91207272,137.16818514,3.79,66.111,,10.480,157,30,47,,
T,2026-02-22 04:17:59,34.91198581,137.16823079,3.79,65.857,,10.650,156,30,47,,
T,2026-02-22 04:18:00,34.91189923,137.16828429,3.79,65.818,,10.830,153,30,47,,
T,2026-02-22 04:18:01,34.91181127,137.16834380,3.79,65.656,,11.280,151,30,47,,
T,2026-02-22 04:18:02,34.91172104,137.16840793,3.79,65.634,,11.920,150,30,47,,
T,2026-02-22 04:18:03,34.91162837,137.16847735,3.79,65.806,,12.380,148,30,47,,
T,2026-02-22 04:18:04,34.91153459,137.16855249,3.79,65.767,,12.720,147,30,47,,
T,2026-02-22 04:18:05,34.91144004,137.16863237,3.79,65.846,,12.970,145,30,47,,
T,2026-02-22 04:18:06,34.91134598,137.16871594,3.79,66.070,,13.280,145,30,47,,
T,2026-02-22 04:18:07,34.91124968,137.16879934,3.79,66.386,,13.250,142,30,47,,
T,2026-02-22 04:18:08,34.91115687,137.16889300,3.79,66.445,,13.260,140,30,47,,
T,2026-02-22 04:18:09,34.91106774,137.16899000,3.79,66.675,,13.190,137,30,47,,
T,2026-02-22 04:18:10,34.91098148,137.16908382,3.79,66.978,,12.670,138,30,47,,
T,2026-02-22 04:18:11,34.91089943,137.16916845,3.79,67.600,,11.750,138,30,47,,
T,2026-02-22 04:18:12,34.91082233,137.16925338,3.79,67.890,,11.000,139,30,47,,
T,2026-02-22 04:18:13,34.91074978,137.16933160,3.79,68.208,,10.300,138,30,47,,
T,2026-02-22 04:18:14,34.91068200,137.16940320,3.79,68.711,,9.380,139,30,47,,
T,2026-02-22 04:18:15,34.91062420,137.16946430,3.79,69.142,,7.850,139,30,47,,
T,2026-02-22 04:18:16,34.91057986,137.16951326,3.79,69.399,,5.960,140,30,47,,
T,2026-02-22 04:18:17,34.91054115,137.16955216,3.79,69.667,,4.850,140,30,47,,
T,2026-02-22 04:18:18,34.91050615,137.16958892,3.79,69.913,,4.770,140,30,47,,
T,2026-02-22 04:18:19,34.91047001,137.16962722,3.79,70.272,,5.110,140,29,48,,
T,2026-02-22 04:18:20,34.91043871,137.16966037,3.79,70.218,,4.580,140,29,48,,
T,2026-02-22 04:18:21,34.91040969,137.16969267,3.79,70.263,,3.910,140,29,48,,
T,2026-02-22 04:18:22,34.91038359,137.16971733,3.79,70.363,,3.310,139,30,48,,
T,2026-02-22 04:18:23,34.91036337,137.16973920,3.79,70.426,,2.760,140,30,48,,
T,2026-02-22 04:18:24,34.91034600,137.16975772,3.79,70.628,,2.210,139,30,48,,
T,2026-02-22 04:18:25,34.91033320,137.16977063,3.79,70.880,,1.570,140,30,48,,
T,2026-02-22 04:18:26,34.91032358,137.16978088,3.79,71.058,,1.030,140,30,48,,
T,2026-02-22 04:18:27,34.91031704,137.16978663,3.79,70.928,,0.930,140,30,48,,
T,2026-02-22 04:18:28,34.91031476,137.16978810,3.79,71.245,,0.370,140,30,48,,
T,2026-02-22 04:18:29,34.91031515,137.16978617,3.79,71.248,,0.000,,30,48,,
T,2026-02-22 04:18:30,34.91031478,137.16978338,3.79,70.838,,0.000,,30,48,,
T,2026-02-22 04:18:31,34.91031536,137.16978208,3.79,70.583,,0.000,,30,48,,
T,2026-02-22 04:18:32,34.91031610,137.16978032,3.79,70.120,,0.000,,30,48,,
T,2026-02-22 04:18:33,34.91031644,137.16977760,3.79,69.640,,0.000,,30,48,,
T,2026-02-22 04:18:34,34.91031679,137.16977617,3.79,69.352,,0.000,,30,48,,
T,2026-02-22 04:18:35,34.91031717,137.16977485,3.79,68.999,,0.000,,30,48,,
T,2026-02-22 04:18:36,34.91031700,137.16977336,3.79,68.660,,0.000,,30,48,,
T,2026-02-22 04:18:37,34.91031757,137.16977311,3.79,68.494,,0.000,,30,48,,
T,2026-02-22 04:18:38,34.91031797,137.16977303,3.79,68.138,,0.000,,30,48,,
T,2026-02-22 04:18:39,34.91031871,137.16977234,3.79,67.803,,0.000,,30,48,,
T,2026-02-22 04:18:40,34.91031892,137.16977215,3.79,67.674,,0.000,,30,48,,
T,2026-02-22 04:18:41,34.91031908,137.16977226,3.79,67.671,,0.000,,30,48,,
T,2026-02-22 04:18:42,34.91031912,137.16977222,3.79,67.678,,0.000,,30,48,,
T,2026-02-22 04:18:43,34.91031913,137.16977236,3.79,67.696,,0.000,,30,48,,
T,2026-02-22 04:18:44,34.91031913,137.16977248,3.79,67.715,,0.000,,30,48,,
T,2026-02-22 04:18:45,34.91031912,137.16977254,3.79,67.730,,0.000,,30,48,,
T,2026-02-22 04:18:46,34.91031913,137.16977258,3.79,67.744,,0.000,,30,48,,
T,2026-02-22 04:18:47,34.91031912,137.16977257,3.79,67.750,,0.000,,30,48,,
T,2026-02-22 04:18:48,34.91031911,137.16977258,3.79,67.753,,0.000,,30,48,,
T,2026-02-22 04:18:49,34.91031910,137.16977260,3.79,67.755,,0.000,,30,48,,
T,2026-02-22 04:18:50,34.91031908,137.16977262,3.79,67.756,,0.000,,30,48,,
T,2026-02-22 04:18:51,34.91031907,137.16977264,3.79,67.759,,0.000,,30,48,,
T,2026-02-22 04:18:52,34.91031905,137.16977265,3.79,67.761,,0.000,,30,48,,
T,2026-02-22 04:18:53,34.91031904,137.16977266,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:54,34.91031902,137.16977267,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:55,34.91031900,137.16977268,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:56,34.91031899,137.16977270,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:57,34.91031897,137.16977270,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:58,34.91031897,137.16977271,3.79,67.762,,0.000,,30,48,,
T,2026-02-22 04:18:59,34.91031895,137.16977272,3.79,67.763,,0.000,,30,48,,
T,2026-02-22 04:19:00,34.91031895,137.16977274,3.79,67.766,,0.000,,30,48,,
T,2026-02-22 04:19:01,34.91031894,137.16977277,3.79,67.768,,0.000,,30,48,,
T,2026-02-22 04:19:02,34.91031895,137.16977278,3.79,67.770,,0.000,,30,48,,
T,2026-02-22 04:19:03,34.91031893,137.16977280,3.79,67.775,,0.000,,30,48,,
T,2026-02-22 04:19:04,34.91031893,137.16977283,3.79,67.779,,0.000,,30,48,,
T,2026-02-22 04:19:05,34.91031894,137.16977285,3.79,67.783,,0.000,,30,48,,
T,2026-02-22 04:19:06,34.91031895,137.16977288,3.79,67.787,,0.000,,30,48,,
T,2026-02-22 04:19:07,34.91031896,137.16977291,3.79,67.791,,0.000,,30,48,,
T,2026-02-22 04:19:08,34.91031895,137.16977293,3.79,67.793,,0.000,,30,48,,
T,2026-02-22 04:19:09,34.91031896,137.16977296,3.79,67.793,,0.000,,30,48,,
T,2026-02-22 04:19:10,34.91031897,137.16977299,3.79,67.795,,0.000,,30,48,,
T,2026-02-22 04:19:11,34.91031897,137.16977301,3.79,67.796,,0.000,,30,48,,
T,2026-02-22 04:19:12,34.91031897,137.16977304,3.79,67.797,,0.000,,30,48,,
T,2026-02-22 04:19:13,34.91031898,137.16977307,3.79,67.799,,0.000,,29,48,,
T,2026-02-22 04:19:14,34.91031899,137.16977310,3.79,67.800,,0.000,,27,48,,
T,2026-02-22 04:19:15,34.91031898,137.16977312,3.79,67.801,,0.000,,27,48,,
T,2026-02-22 04:19:16,34.91031899,137.16977317,3.79,67.807,,0.000,,28,48,,
T,2026-02-22 04:19:17,34.91031899,137.16977320,3.79,67.808,,0.000,,28,48,,
T,2026-02-22 04:19:18,34.91031898,137.16977321,3.79,67.809,,0.000,,27,48,,
T,2026-02-22 04:19:19,34.91031897,137.16977323,3.79,67.810,,0.000,,27,48,,
T,2026-02-22 04:19:20,34.91031205,137.16978282,3.79,68.448,,0.980,140,28,48,,
T,2026-02-22 04:19:21,34.91029711,137.16979909,3.79,68.534,,3.160,140,29,48,,
T,2026-02-22 04:19:22,34.91027347,137.16982463,3.79,68.723,,3.740,140,29,48,,
T,2026-02-22 04:19:23,34.91024600,137.16985354,3.79,69.360,,4.290,140,30,48,,
T,2026-02-22 04:19:24,34.91021674,137.16988945,3.79,69.893,,5.080,141,30,48,,
T,2026-02-22 04:19:25,34.91017888,137.16993013,3.79,70.100,,6.120,140,30,48,,
T,2026-02-22 04:19:26,34.91013431,137.16997832,3.79,70.296,,6.920,140,30,48,,
T,2026-02-22 04:19:27,34.91008311,137.17003155,3.79,70.640,,7.670,139,30,48,,
T,2026-02-22 04:19:28,34.91002667,137.17008468,3.79,71.309,,8.390,139,30,48,,
T,2026-02-22 04:19:29,34.90996616,137.17014672,3.79,71.542,,9.040,140,30,48,,
T,2026-02-22 04:19:30,34.90990052,137.17021525,3.79,71.711,,9.830,139,30,48,,
T,2026-02-22 04:19:31,34.90982788,137.17028894,3.79,71.992,,10.570,139,30,48,,
T,2026-02-22 04:19:32,34.90975285,137.17036605,3.79,72.240,,11.160,140,30,48,,
T,2026-02-22 04:19:33,34.90967374,137.17044715,3.79,72.470,,11.690,140,30,48,,
T,2026-02-22 04:19:34,34.90959310,137.17053117,3.79,72.985,,12.040,140,30,48,,
T,2026-02-22 04:19:35,34.90951187,137.17061615,3.79,73.540,,12.350,140,30,48,,
T,2026-02-22 04:19:36,34.90942624,137.17070162,3.79,74.259,,12.420,140,30,48,,
T,2026-02-22 04:19:37,34.90934078,137.17078916,3.79,74.879,,12.570,141,30,48,,
T,2026-02-22 04:19:38,34.90924944,137.17087360,3.79,75.432,,12.640,143,30,48,,
T,2026-02-22 04:19:39,34.90915819,137.17095638,3.79,75.873,,12.680,144,30,48,,
T,2026-02-22 04:19:40,34.90906372,137.17103734,3.79,76.252,,12.800,145,30,48,,
T,2026-02-22 04:19:41,34.90896681,137.17111724,3.79,76.677,,12.810,146,30,48,,
T,2026-02-22 04:19:42,34.90886790,137.17119497,3.79,76.993,,12.790,147,30,48,,
T,2026-02-22 04:19:43,34.90876972,137.17127229,3.79,77.292,,12.930,148,30,48,,
T,2026-02-22 04:19:44,34.90867218,137.17134756,3.79,77.649,,13.060,148,30,48,,
T,2026-02-22 04:19:45,34.90856895,137.17142051,3.79,77.537,,13.140,150,30,48,,
T,2026-02-22 04:19:46,34.90846373,137.17149062,3.79,77.446,,13.130,153,30,48,,
T,2026-02-22 04:19:47,34.90835847,137.17155236,3.79,77.236,,12.940,156,30,48,,
T,2026-02-22 04:19:48,34.90825138,137.17161218,3.79,77.371,,12.940,156,30,48,,
T,2026-02-22 04:19:49,34.90814393,137.17167019,3.79,77.058,,13.150,157,30,48,,
T,2026-02-22 04:19:50,34.90803173,137.17172311,3.79,76.916,,13.480,159,30,48,,
T,2026-02-22 04:19:51,34.90791850,137.17177589,3.79,76.326,,13.600,160,29,48,,
T,2026-02-22 04:19:52,34.90780567,137.17182481,3.79,75.925,,13.430,163,29,48,,
T,2026-02-22 04:19:53,34.90769233,137.17186856,3.79,75.770,,13.390,163,30,48,,
T,2026-02-22 04:19:54,34.90757835,137.17191110,3.79,75.437,,13.470,162,30,48,,
T,2026-02-22 04:19:55,34.90746542,137.17195478,3.79,75.068,,13.440,162,30,48,,
T,2026-02-22 04:19:56,34.90735232,137.17199877,3.79,74.895,,13.370,162,30,48,,
T,2026-02-22 04:19:57,34.90723922,137.17204563,3.79,74.297,,13.260,162,30,48,,
T,2026-02-22 04:19:58,34.90712606,137.17209205,3.79,73.708,,13.140,161,30,48,,
T,2026-02-22 04:19:59,34.90701694,137.17213678,3.79,73.261,,12.600,161,30,48,,
T,2026-02-22 04:20:00,34.90691205,137.17217917,3.79,72.962,,11.970,162,30,48,,
T,2026-02-22 04:20:01,34.90681754,137.17221756,3.79,72.660,,10.650,162,30,48,,
T,2026-02-22 04:20:02,34.90672558,137.17225275,3.79,72.293,,10.440,162,30,48,,
T,2026-02-22 04:20:03,34.90663720,137.17228756,3.79,71.703,,10.100,162,30,48,,
T,2026-02-22 04:20:04,34.90655170,137.17232179,3.79,71.303,,9.800,162,29,48,,
T,2026-02-22 04:20:05,34.90646719,137.17235534,3.79,70.910,,9.840,162,29,48,,
T,2026-02-22 04:20:06,34.90638249,137.17238859,3.79,70.601,,9.800,162,30,48,,
T,2026-02-22 04:20:07,34.90629952,137.17242262,3.79,70.526,,9.670,162,30,48,,
T,2026-02-22 04:20:08,34.90621789,137.17245483,3.79,70.394,,9.540,162,30,48,,
T,2026-02-22 04:20:09,34.90613794,137.17248714,3.79,70.303,,9.320,162,30,48,,
T,2026-02-22 04:20:10,34.90606616,137.17251407,3.79,69.893,,7.960,162,30,48,,
T,2026-02-22 04:20:11,34.90600356,137.17253865,3.79,69.558,,6.860,162,30,48,,
T,2026-02-22 04:20:12,34.90594940,137.17255920,3.79,69.481,,5.750,161,30,48,,
T,2026-02-22 04:20:13,34.90590440,137.17257564,3.79,69.473,,4.600,161,29,48,,
T,2026-02-22 04:20:14,34.90587260,137.17258793,3.79,69.369,,3.120,162,29,48,,
T,2026-02-22 04:20:15,34.90583859,137.17260207,3.79,69.319,,3.680,161,29,48,,
T,2026-02-22 04:20:16,34.90580483,137.17261616,3.79,69.134,,4.010,161,30,48,,
T,2026-02-22 04:20:17,34.90576498,137.17263385,3.79,69.147,,4.850,161,30,48,,
T,2026-02-22 04:20:18,34.90571578,137.17265433,3.79,68.835,,6.400,161,30,48,,
T,2026-02-22 04:20:19,34.90565633,137.17267951,3.79,68.616,,7.490,161,29,48,,
T,2026-02-22 04:20:20,34.90558976,137.17270685,3.79,68.279,,8.240,161,29,48,,
T,2026-02-22 04:20:21,34.90552196,137.17273611,3.79,68.096,,8.200,161,30,48,,
T,2026-02-22 04:20:22,34.90545240,137.17276548,3.79,67.913,,8.210,161,29,48,,
T,2026-02-22 04:20:23,34.90538125,137.17279354,3.79,67.487,,8.430,161,29,48,,
T,2026-02-22 04:20:24,34.90530373,137.17282619,3.79,67.271,,9.310,162,29,48,,
T,2026-02-22 04:20:25,34.90522039,137.17286015,3.79,67.203,,10.080,162,28,48,,
T,2026-02-22 04:20:26,34.90513269,137.17289425,3.79,66.969,,10.650,161,29,48,,
T,2026-02-22 04:20:27,34.90503989,137.17293285,3.79,67.063,,11.350,162,30,48,,
T,2026-02-22 04:20:28,34.90494071,137.17297238,3.79,66.792,,11.930,162,31,48,,
T,2026-02-22 04:20:29,34.90483814,137.17301004,3.79,66.766,,12.160,162,31,48,,
T,2026-02-22 04:20:30,34.90473397,137.17305104,3.79,66.877,,12.480,162,31,48,,
T,2026-02-22 04:20:31,34.90462439,137.17309229,3.79,67.026,,12.850,163,31,48,,
T,2026-02-22 04:20:32,34.90451232,137.17313437,3.79,67.056,,13.130,162,31,48,,
T,2026-02-22 04:20:33,34.90439908,137.17317820,3.79,67.456,,12.960,162,31,48,,
T,2026-02-22 04:20:34,34.90428831,137.17321939,3.79,68.236,,12.780,163,31,48,,
T,2026-02-22 04:20:35,34.90417937,137.17326076,3.79,68.748,,12.600,163,31,48,,
T,2026-02-22 04:20:36,34.90407110,137.17330321,3.79,69.362,,12.460,163,31,48,,
T,2026-02-22 04:20:37,34.90396274,137.17334467,3.79,69.810,,12.450,163,30,48,,
T,2026-02-22 04:20:38,34.90385671,137.17338480,3.79,70.306,,12.380,163,30,48,,
T,2026-02-22 04:20:39,34.90375027,137.17342640,3.79,70.513,,12.310,162,30,48,,
T,2026-02-22 04:20:40,34.90364463,137.17346785,3.79,70.991,,12.270,162,30,48,,
T,2026-02-22 04:20:41,34.90354187,137.17350889,3.79,71.718,,12.070,162,30,48,,
T,2026-02-22 04:20:42,34.90345157,137.17354618,3.79,72.098,,10.120,161,30,48,,
T,2026-02-22 04:20:43,34.90336795,137.17357982,3.79,72.515,,9.300,161,30,48,,
T,2026-02-22 04:20:44,34.90329062,137.17361144,3.79,72.640,,8.910,162,31,48,,
T,2026-02-22 04:20:45,34.90321683,137.17363871,3.79,73.248,,8.510,162,31,48,,
T,2026-02-22 04:20:46,34.90314060,137.17366924,3.79,73.275,,8.890,162,31,48,,
T,2026-02-22 04:20:47,34.90306179,137.17369944,3.79,73.397,,9.190,162,31,48,,
T,2026-02-22 04:20:48,34.90298515,137.17372925,3.79,73.559,,9.140,162,31,48,,
T,2026-02-22 04:20:49,34.90290597,137.17376141,3.79,73.302,,9.130,162,31,48,,
T,2026-02-22 04:20:50,34.90281858,137.17378820,3.79,73.268,,10.390,166,31,48,,
T,2026-02-22 04:20:51,34.90272059,137.17381522,3.79,73.207,,11.690,168,31,48,,
T,2026-02-22 04:20:52,34.90261594,137.17384497,3.79,72.906,,12.490,167,31,48,,
T,2026-02-22 04:20:53,34.90250562,137.17387992,3.79,72.611,,12.970,165,31,48,,
T,2026-02-22 04:20:54,34.90239156,137.17392011,3.79,72.433,,13.350,162,31,48,,
T,2026-02-22 04:20:55,34.90227677,137.17396915,3.79,72.247,,13.780,160,31,48,,
T,2026-02-22 04:20:56,34.90215913,137.17402630,3.79,72.129,,14.220,157,31,48,,
T,2026-02-22 04:20:57,34.90204014,137.17408615,3.79,71.779,,14.530,157,31,48,,
T,2026-02-22 04:20:58,34.90191752,137.17414172,3.79,71.718,,14.680,160,31,48,,
T,2026-02-22 04:20:59,34.90179154,137.17419432,3.79,71.526,,14.770,162,31,48,,
T,2026-02-22 04:21:00,34.90166281,137.17423988,3.79,71.742,,15.110,165,31,48,,
T,2026-02-22 04:21:01,34.90152727,137.17428503,3.79,71.752,,15.630,165,31,48,,
T,2026-02-22 04:21:02,34.90138988,137.17432825,3.79,71.568,,15.830,166,31,48,,
T,2026-02-22 04:21:03,34.90125189,137.17436650,3.79,71.404,,15.670,167,31,48,,
T,2026-02-22 04:21:04,34.90111529,137.17440405,3.79,71.390,,15.550,168,31,48,,
T,2026-02-22 04:21:05,34.90097771,137.17443795,3.79,71.196,,15.470,169,31,48,,
T,2026-02-22 04:21:06,34.90084025,137.17446815,3.79,70.998,,15.430,170,31,48,,
T,2026-02-22 04:21:07,34.90070358,137.17449437,3.79,70.928,,15.270,171,30,48,,
T,2026-02-22 04:21:08,34.90056861,137.17451997,3.79,70.579,,14.970,172,30,48,,
T,2026-02-22 04:21:09,34.90043588,137.17454252,3.79,70.030,,14.760,173,30,48,,
T,2026-02-22 04:21:10,34.90030464,137.17456308,3.79,69.437,,14.710,174,30,48,,
T,2026-02-22 04:21:11,34.90017437,137.17458039,3.79,68.576,,14.620,175,30,48,,
T,2026-02-22 04:21:12,34.90004225,137.17459351,3.79,68.091,,14.640,176,30,48,,
T,2026-02-22 04:21:13,34.89990885,137.17460402,3.79,67.318,,14.730,177,30,48,,
T,2026-02-22 04:21:14,34.89977648,137.17461198,3.79,66.636,,14.820,178,30,48,,
T,2026-02-22 04:21:15,34.89964194,137.17461863,3.79,66.233,,14.850,179,30,48,,
T,2026-02-22 04:21:16,34.89950616,137.17462241,3.79,65.447,,14.970,179,30,48,,
T,2026-02-22 04:21:17,34.89937065,137.17462561,3.79,64.718,,15.080,180,30,48,,
T,2026-02-22 04:21:18,34.89923944,137.17462751,3.79,64.254,,14.650,179,30,48,,
T,2026-02-22 04:21:19,34.89911317,137.17463054,3.79,63.727,,13.640,179,30,48,,
T,2026-02-22 04:21:20,34.89899373,137.17463268,3.79,63.197,,12.710,179,30,48,,
T,2026-02-22 04:21:21,34.89887923,137.17463354,3.79,62.764,,12.360,180,30,48,,
T,2026-02-22 04:21:22,34.89876804,137.17463600,3.79,62.602,,12.380,180,31,48,,
T,2026-02-22 04:21:23,34.89865891,137.17463814,3.79,62.472,,12.110,180,30,48,,
T,2026-02-22 04:21:24,34.89855229,137.17463927,3.79,62.390,,11.830,180,30,48,,
T,2026-02-22 04:21:25,34.89844692,137.17463922,3.79,62.315,,11.560,180,30,48,,
T,2026-02-22 04:21:26,34.89834500,137.17464020,3.79,62.190,,11.230,180,31,48,,
T,2026-02-22 04:21:27,34.89824463,137.17464012,3.79,61.995,,10.970,180,31,48,,
T,2026-02-22 04:21:28,34.89814305,137.17464057,3.79,61.755,,11.460,180,31,48,,
T,2026-02-22 04:21:29,34.89803705,137.17463985,3.79,61.795,,11.960,180,31,48,,
T,2026-02-22 04:21:30,34.89792889,137.17464155,3.79,61.791,,12.240,180,31,48,,
T,2026-02-22 04:21:31,34.89782093,137.17464376,3.79,61.754,,12.120,179,31,48,,
T,2026-02-22 04:21:32,34.89771137,137.17464644,3.79,61.713,,12.160,179,31,48,,
T,2026-02-22 04:21:33,34.89760120,137.17464960,3.79,61.759,,12.160,178,31,48,,
T,2026-02-22 04:21:34,34.89749084,137.17465175,3.79,61.725,,12.180,179,31,48,,
T,2026-02-22 04:21:35,34.89737836,137.17465469,3.79,61.618,,12.550,179,31,48,,
T,2026-02-22 04:21:36,34.89726382,137.17465762,3.79,61.605,,12.780,179,31,48,,
T,2026-02-22 04:21:37,34.89714721,137.17465954,3.79,61.632,,13.080,179,31,48,,
T,2026-02-22 04:21:38,34.89702911,137.17466120,3.79,61.591,,13.350,180,31,48,,
T,2026-02-22 04:21:39,34.89690789,137.17466176,3.79,61.603,,13.580,180,31,48,,
T,2026-02-22 04:21:40,34.89678546,137.17466350,3.79,61.659,,13.770,180,31,48,,
T,2026-02-22 04:21:41,34.89666029,137.17466463,3.79,61.503,,13.970,180,31,48,,
T,2026-02-22 04:21:42,34.89653188,137.17466533,3.79,61.477,,14.160,179,31,48,,
T,2026-02-22 04:21:43,34.89640348,137.17466645,3.79,61.381,,14.330,180,31,48,,
T,2026-02-22 04:21:44,34.89627755,137.17466783,3.79,61.577,,13.980,180,30,48,,
T,2026-02-22 04:21:45,34.89615357,137.17466858,3.79,61.780,,13.630,180,30,48,,
T,2026-02-22 04:21:46,34.89603163,137.17466887,3.79,62.052,,13.230,180,30,48,,
T,2026-02-22 04:21:47,34.89591387,137.17466643,3.79,62.461,,12.920,181,30,48,,
T,2026-02-22 04:21:48,34.89579619,137.17466476,3.79,62.714,,12.770,181,30,48,,
T,2026-02-22 04:21:49,34.89567916,137.17466394,3.79,63.076,,12.900,180,31,48,,
T,2026-02-22 04:21:50,34.89556506,137.17466357,3.79,63.368,,12.670,180,31,48,,
T,2026-02-22 04:21:51,34.89545252,137.17466342,3.79,63.599,,12.600,180,31,48,,
T,2026-02-22 04:21:52,34.89533897,137.17466368,3.79,63.506,,12.730,180,31,48,,
T,2026-02-22 04:21:53,34.89522265,137.17466418,3.79,63.676,,12.870,179,31,48,,
T,2026-02-22 04:21:54,34.89510566,137.17466574,3.79,63.660,,13.070,179,31,48,,
T,2026-02-22 04:21:55,34.89498621,137.17466832,3.79,63.753,,13.260,179,31,48,,
T,2026-02-22 04:21:56,34.89486734,137.17466941,3.79,63.902,,13.310,180,31,48,,
T,2026-02-22 04:21:57,34.89474633,137.17466741,3.79,64.106,,13.450,181,30,48,,
T,2026-02-22 04:21:58,34.89462664,137.17466723,3.79,64.114,,13.230,180,30,48,,
